+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Can 1?                                                                                                               | 9.1    |
| FC Chechnya                                                                                                          | 9.1    |
| Honor in the Valley of Tears                                                                                         | 9.1    |
| Hymen National                                                                                                       | 9.1    |
| Mikis Theodorakis. Composer                                                                                          | 9.1    |
| My Champion                                                                                                          | 9.1    |
| Once Upon Our Time                                                                                                   | 9.1    |
| Road to Pride                                                                                                        | 9.1    |
| The Children's War                                                                                                   | 9.1    |
| Tunahaki                                                                                                             | 9.1    |
| U redu, pobedio sam                                                                                                  | 9.1    |
| A Bend in the Road                                                                                                   | 9.0    |
| American Greyhounds                                                                                                  | 9.0    |
| Battle of the Bagpipes                                                                                               | 9.0    |
| Black Mail                                                                                                           | 9.0    |
| Eagles: Return to Glory                                                                                              | 9.0    |
| Fool in a Bubble                                                                                                     | 9.0    |
| Lanfranchi's Memorial Discotheque                                                                                    | 9.0    |
| Maria, regina noastra                                                                                                | 9.0    |
| Michael Jackson Commemorated                                                                                         | 9.0    |
| New York Street Games                                                                                                | 9.0    |
| One-Eyed Doll: A Rockumentary                                                                                        | 9.0    |
| Sharkula: Diarrhea of a Madman                                                                                       | 9.0    |
| The Black Roots of Salsa: The Emancipation of Cuban Rumba                                                            | 9.0    |
| The Clock                                                                                                            | 9.0    |
| The Skids Live                                                                                                       | 9.0    |
| To Age or Not to Age                                                                                                 | 9.0    |
| Under a Jarvis Moon                                                                                                  | 9.0    |
| Utopia in Four Movements                                                                                             | 9.0    |
| 100,000                                                                                                              | 8.9    |
| America's National Treasures                                                                                         | 8.9    |
| Bruce Springsteen and the E Street Band: London Calling - Live in Hyde Park                                          | 8.9    |
| Chekhov for Children                                                                                                 | 8.9    |
| Choctaw Code Talkers                                                                                                 | 8.9    |
| Ciclovida: Lifecycle                                                                                                 | 8.9    |
| CrossFit World Games: The Story of Annie and Sven                                                                    | 8.9    |
| Cut Poison Burn                                                                                                      | 8.9    |
| DranDeh                                                                                                              | 8.9    |
| Help the World                                                                                                       | 8.9    |
| John Henry: A Steel Driving Race Horse                                                                               | 8.9    |
| Kupi jedan molim te!                                                                                                 | 8.9    |
| Lebensraum/Living Space                                                                                              | 8.9    |
| Les Passionnés                                                                                                       | 8.9    |
| Les palmiers blessés                                                                                                 | 8.9    |
| Love Equation                                                                                                        | 8.9    |
| My Good and Beautiful Friends                                                                                        | 8.9    |
| Powerful: Energy for Everyone                                                                                        | 8.9    |
| Rabbit Fever                                                                                                         | 8.9    |
| Sjaak the World                                                                                                      | 8.9    |
| Somewhere Near Tapachula                                                                                             | 8.9    |
| Staying Gold                                                                                                         | 8.9    |
| The Final Journey                                                                                                    | 8.9    |
| The Way He Makes Them Feel: A Michael Jackson Fan Documentary                                                        | 8.9    |
| Urban Crazy                                                                                                          | 8.9    |
| A Journey to Etna                                                                                                    | 8.8    |
| A3D Ayumi Hamasaki Arena Tour 2009 A: Next Level                                                                     | 8.8    |
| Agadez, the Music and the Rebellion                                                                                  | 8.8    |
| American Falls                                                                                                       | 8.8    |
| Being Azem                                                                                                           | 8.8    |
| Boundaries                                                                                                           | 8.8    |
| Confesiones de un Sicario                                                                                            | 8.8    |
| Den shakhtyora                                                                                                       | 8.8    |
| Detroit Connection Pt. 3: Last Man Standing (Demetrius Holloway)                                                     | 8.8    |
| Doraleous and Associates                                                                                             | 8.8    |
| For Once in My Life                                                                                                  | 8.8    |
| For the Love of Elephants                                                                                            | 8.8    |
| Harvest of Loneliness                                                                                                | 8.8    |
| How Can You Tell If the Little Fish Are Happy?                                                                       | 8.8    |
| In Focus                                                                                                             | 8.8    |
| Inception                                                                                                            | 8.8    |
| Journey from Zanskar                                                                                                 | 8.8    |
| Kiki's Story: A Psychodrama Session                                                                                  | 8.8    |
| Kisses, Chloe                                                                                                        | 8.8    |
| Les Misérables in Concert: The 25th Anniversary                                                                      | 8.8    |
| Mon Chay Tomay                                                                                                       | 8.8    |
| My So-Called Enemy                                                                                                   | 8.8    |
| Napozz Holddal - A Kispálfilm                                                                                        | 8.8    |
| New Kids on the Block: Coming Home                                                                                   | 8.8    |
| Nobody Smiling                                                                                                       | 8.8    |
| Passion                                                                                                              | 8.8    |
| Sesame Street: C is for Cookie Monster                                                                               | 8.8    |
| Shepherds of Helmand                                                                                                 | 8.8    |
| Taliya.Date.Com                                                                                                      | 8.8    |
| Temporary Valparaíso                                                                                                 | 8.8    |
| The Ballad of Frankie Silver                                                                                         | 8.8    |
| Unbelehrbar                                                                                                          | 8.8    |
| Violin Masters: Two Gentlemen of Cremona                                                                             | 8.8    |
| 759 Dresden                                                                                                          | 8.7    |
| A Very Short War                                                                                                     | 8.7    |
| Anger Has a Secret                                                                                                   | 8.7    |
| As Batidas do Samba                                                                                                  | 8.7    |
| Bazaar of All Nations                                                                                                | 8.7    |
| Camp Beaverbrook: The Movie                                                                                          | 8.7    |
| Dazed in Doon                                                                                                        | 8.7    |
| Dreaming Nicaragua                                                                                                   | 8.7    |
| Drive Somewhere: The Saga of the Vulgar Boatmen                                                                      | 8.7    |
| Dve ali tri stvari, ki jih vem o njej                                                                                | 8.7    |
| Europolis - The Town of the Delta                                                                                    | 8.7    |
| Grand Slammed                                                                                                        | 8.7    |
| Hand Held                                                                                                            | 8.7    |
| Have You Heard from Johannesburg                                                                                     | 8.7    |
| Il nemico sulle ali                                                                                                  | 8.7    |
| Jagger Gravning Syndrome: The Greatest Documentary of Our Time                                                       | 8.7    |
| Jen                                                                                                                  | 8.7    |
| Le gai tapant                                                                                                        | 8.7    |
| Lost Bohemia                                                                                                         | 8.7    |
| National Theatre Live: Nation                                                                                        | 8.7    |
| On the Summit                                                                                                        | 8.7    |
| Pioneers of the Deep                                                                                                 | 8.7    |
| Pride in Battle                                                                                                      | 8.7    |
| Rat Rod Rockers!                                                                                                     | 8.7    |
| Señora de                                                                                                            | 8.7    |
| Skin Trade                                                                                                           | 8.7    |
| Tao of Peace                                                                                                         | 8.7    |
| The Corners                                                                                                          | 8.7    |
| The Toll                                                                                                             | 8.7    |
| Urban Wolf                                                                                                           | 8.7    |
| Utopia London                                                                                                        | 8.7    |
| Viktor & I: An Alexander Vesely Film                                                                                 | 8.7    |
| Volando con Visconti                                                                                                 | 8.7    |
| War Music                                                                                                            | 8.7    |
| Where Are You Taking Me?                                                                                             | 8.7    |
| 1040: Christianity in the New Asia                                                                                   | 8.6    |
| 442: Live with Honor, Die with Dignity                                                                               | 8.6    |
| Aaranya Kaandam                                                                                                      | 8.6    |
| Arrebatados. Recordando a Iván Zulueta                                                                               | 8.6    |
| Brown Babies: The Mischlingskinder Story                                                                             | 8.6    |
| Bury the Hatchet                                                                                                     | 8.6    |
| Bush League                                                                                                          | 8.6    |
| Cangleska Wakan                                                                                                      | 8.6    |
| Cheer Up, Sam                                                                                                        | 8.6    |
| Chicas                                                                                                               | 8.6    |
| Dig                                                                                                                  | 8.6    |
| Freaks Nerds & Romantics                                                                                             | 8.6    |
| Freedom Hills                                                                                                        | 8.6    |
| Gaza We Are Coming                                                                                                   | 8.6    |
| Human Resources Documentary                                                                                          | 8.6    |
| Kismet                                                                                                               | 8.6    |
| Legends of Ingushetia                                                                                                | 8.6    |
| Life of the Party: Vol. II                                                                                           | 8.6    |
| Making Your Mark (A Year in the Life of an Entrepreneur)                                                             | 8.6    |
| Music from the Big House                                                                                             | 8.6    |
| Nargis: When Time Stopped Breathing                                                                                  | 8.6    |
| Neighbours                                                                                                           | 8.6    |
| Novelties                                                                                                            | 8.6    |
| On Coal River                                                                                                        | 8.6    |
| On a Carousel of Sound, We Go Round                                                                                  | 8.6    |
| Only a Number                                                                                                        | 8.6    |
| Out of Focus                                                                                                         | 8.6    |
| Peep Game                                                                                                            | 8.6    |
| Phish                                                                                                                | 8.6    |
| Rock On (A Documentary About Persian Rock)                                                                           | 8.6    |
| Senior Prom                                                                                                          | 8.6    |
| Slednecks 13                                                                                                         | 8.6    |
| Something Missie in the Life of Jordan Bank                                                                          | 8.6    |
| Sounds Like a Revolution                                                                                             | 8.6    |
| Step Away from the Stone                                                                                             | 8.6    |
| The Beekeepers                                                                                                       | 8.6    |
| The Big 4: Live from Sofia, Bulgaria                                                                                 | 8.6    |
| The Dust Never Settles                                                                                               | 8.6    |
| The Great Mystery                                                                                                    | 8.6    |
| The New Normal                                                                                                       | 8.6    |
| The Renaissance of Mata Ortiz                                                                                        | 8.6    |
| The Rise and Fall and Rise of Sensational                                                                            | 8.6    |
| The Road to Carnegie Hall                                                                                            | 8.6    |
| The Start of Dreams                                                                                                  | 8.6    |
| The U Movie                                                                                                          | 8.6    |
| The Wizard of Agni                                                                                                   | 8.6    |
| Tist' dan v tednu                                                                                                    | 8.6    |
| Touch Wood                                                                                                           | 8.6    |
| Twenty Ten                                                                                                           | 8.6    |
| Un fueguito. La historia de César Milstein                                                                           | 8.6    |
| Viva! Saint Agrippina                                                                                                | 8.6    |
| Writer's Block                                                                                                       | 8.6    |
| 1 in 3                                                                                                               | 8.5    |
| 50 for Izzy                                                                                                          | 8.5    |
| A Moment in Time                                                                                                     | 8.5    |
| A Road Not Taken                                                                                                     | 8.5    |
| Behind the Scenes                                                                                                    | 8.5    |
| Bijelo Dugme                                                                                                         | 8.5    |
| Biker Fox                                                                                                            | 8.5    |
| Book Smugglers                                                                                                       | 8.5    |
| Brilliant Moon: Glimpses of Dilgo Khyentse Rinpoche                                                                  | 8.5    |
| Canine Instinct                                                                                                      | 8.5    |
| Canvasman: The Robbie Ellis Story                                                                                    | 8.5    |
| Changed Days                                                                                                         | 8.5    |
| Computer Love                                                                                                        | 8.5    |
| Es muss was geben                                                                                                    | 8.5    |
| Freeing Bernie Baran                                                                                                 | 8.5    |
| Frequency of Genius                                                                                                  | 8.5    |
| Getting Outer Space                                                                                                  | 8.5    |
| Ghost Player                                                                                                         | 8.5    |
| Gordonia                                                                                                             | 8.5    |
| Heroes Crossing                                                                                                      | 8.5    |
| Homeland Nation: Mescalero Apache                                                                                    | 8.5    |
| Honorable Retribution                                                                                                | 8.5    |
| Into the Sky                                                                                                         | 8.5    |
| Karamay                                                                                                              | 8.5    |
| La Dernière Fois                                                                                                     | 8.5    |
| Mammalian                                                                                                            | 8.5    |
| Meshuggah: Alive                                                                                                     | 8.5    |
| More Than Diamonds                                                                                                   | 8.5    |
| Mtm 548                                                                                                              | 8.5    |
| One Big Hapa Family                                                                                                  | 8.5    |
| Psycho Chicks Anonymous                                                                                              | 8.5    |
| Rainbows End                                                                                                         | 8.5    |
| Revolver: Poor Boyz                                                                                                  | 8.5    |
| Ruby Skye P.I.: The Spam Scam                                                                                        | 8.5    |
| Sam Hunt: Purple Balloon and Other Stories                                                                           | 8.5    |
| Senna                                                                                                                | 8.5    |
| Soberano: Seis Vezes São Paulo                                                                                       | 8.5    |
| Spinners                                                                                                             | 8.5    |
| The Love Project Journey                                                                                             | 8.5    |
| This is My Land... Hebron                                                                                            | 8.5    |
| Transnationalmannschaft                                                                                              | 8.5    |
| Truth & Life Dramatized Audio Bible                                                                                  | 8.5    |
| Unlisted: A Story of Schizophrenia                                                                                   | 8.5    |
| Uçurtmam tellere takildi                                                                                             | 8.5    |
| Yeardley                                                                                                             | 8.5    |
| You're Looking at Me Like I Live Here and I Don't                                                                    | 8.5    |
| Youngstown: Still Standing                                                                                           | 8.5    |
| 77 Steps                                                                                                             | 8.4    |
| Adrift: People of a Lesser God                                                                                       | 8.4    |
| Amber Rose                                                                                                           | 8.4    |
| Animals, Whores & Dialogue: Breakfast with Hunter Vol. 2                                                             | 8.4    |
| Brent Houzenga: Hybrid Pioneer                                                                                       | 8.4    |
| Bruce Springsteen & the E Street Band Houston '78 Bootleg: House Cut                                                 | 8.4    |
| Chickens in the Shadows                                                                                              | 8.4    |
| Chosin                                                                                                               | 8.4    |
| Christmas Train Spectacular                                                                                          | 8.4    |
| Coals to Newcastle: the New Mastersounds, from Leeds to New Orleans                                                  | 8.4    |
| Comando e controllo                                                                                                  | 8.4    |
| Dancing on a Dry Salt Lake                                                                                           | 8.4    |
| Deconstructing Dad: The Music, Machines and Mystery of Raymond Scott                                                 | 8.4    |
| Dudamel: Let the Children Play                                                                                       | 8.4    |
| Dying for the Truth                                                                                                  | 8.4    |
| El Bulli - Historia de un sueño                                                                                      | 8.4    |
| Finding Nico                                                                                                         | 8.4    |
| Fire in the Heartland: Kent State, May 4, and Student Protest in America (2020)                                      | 8.4    |
| Football Fables                                                                                                      | 8.4    |
| Free Wheels East                                                                                                     | 8.4    |
| Giorgione da Castelfranco, sulle tracce del genio                                                                    | 8.4    |
| Go West Happy Cow                                                                                                    | 8.4    |
| God of War: Unearthing the Legend Franchise Documentary                                                              | 8.4    |
| Green Day: 21st Century Breakdown                                                                                    | 8.4    |
| Gu Nainai                                                                                                            | 8.4    |
| Half Way                                                                                                             | 8.4    |
| Heart 2 Heart                                                                                                        | 8.4    |
| Hermoso Silencio                                                                                                     | 8.4    |
| Highland Fling                                                                                                       | 8.4    |
| Justice for Sergei                                                                                                   | 8.4    |
| Khurchi Samrat                                                                                                       | 8.4    |
| La Rosi                                                                                                              | 8.4    |
| Le coeur d'Auschwitz                                                                                                 | 8.4    |
| Let's Run Away from Her                                                                                              | 8.4    |
| Letters from the Desert (Eulogy to Slowness)                                                                         | 8.4    |
| Life Cycles                                                                                                          | 8.4    |
| Macaframa                                                                                                            | 8.4    |
| Min pinlige familie og mutantdræbersneglene                                                                          | 8.4    |
| Natarang                                                                                                             | 8.4    |
| National Theatre Live: A Disappearing Number                                                                         | 8.4    |
| National Theatre Live: The Habit of Art                                                                              | 8.4    |
| Novembre                                                                                                             | 8.4    |
| Numb                                                                                                                 | 8.4    |
| Quitting                                                                                                             | 8.4    |
| Radiohead Live in Praha                                                                                              | 8.4    |
| Rouge ciel                                                                                                           | 8.4    |
| Rush: Beyond the Lighted Stage                                                                                       | 8.4    |
| Sea the Truth                                                                                                        | 8.4    |
| Stairway from Hell                                                                                                   | 8.4    |
| Suika                                                                                                                | 8.4    |
| Swooped from Nothing                                                                                                 | 8.4    |
| The Aspern Papers                                                                                                    | 8.4    |
| The Barrel of a Gun                                                                                                  | 8.4    |
| The Great Intervention                                                                                               | 8.4    |
| The Heart That Beats                                                                                                 | 8.4    |
| The Inquisition                                                                                                      | 8.4    |
| The Last First Comic                                                                                                 | 8.4    |
| The Man of a Thousand Songs                                                                                          | 8.4    |
| The Play-Station Killed the Puppet                                                                                   | 8.4    |
| The Seattle Pilots: Short Flight Into History                                                                        | 8.4    |
| The Shot Felt 'Round the World                                                                                       | 8.4    |
| The War You Don't See                                                                                                | 8.4    |
| Thespians                                                                                                            | 8.4    |
| Trans Francisco                                                                                                      | 8.4    |
| Uno scrittore al fronte                                                                                              | 8.4    |
| Voces del subterráneo                                                                                                | 8.4    |
| Voices in the Clouds                                                                                                 | 8.4    |
| When Playboys Ruled the World                                                                                        | 8.4    |
| Wid Winner and the Slipstream                                                                                        | 8.4    |
| Wild Ride                                                                                                            | 8.4    |
| *MEI [MEIG] Voci migranti                                                                                            | 8.3    |
| 7 Hati, 7 Cinta, 7 Wanita                                                                                            | 8.3    |
| A Surprise in Texas                                                                                                  | 8.3    |
| All That Glitters                                                                                                    | 8.3    |
| Almost There                                                                                                         | 8.3    |
| Arias with a Twist                                                                                                   | 8.3    |
| Awka Liwen                                                                                                           | 8.3    |
| Bach & Friends                                                                                                       | 8.3    |
| Bad Hero                                                                                                             | 8.3    |
| Black Eyed Peas 3D: Live                                                                                             | 8.3    |
| Bouncing Cats                                                                                                        | 8.3    |
| Broken Idyll                                                                                                         | 8.3    |
| Burn Crisis                                                                                                          | 8.3    |
